,id,nombre,2015_alineaciones,2015_puntos_por_partido,2015_minutos_jugados,2015_minutos_por_gol,2015_minutos_por_asistencia,2016_alineaciones,2016_puntos_por_partido,2016_minutos_jugados,2016_minutos_por_gol,2016_minutos_por_asistencia,2017_alineaciones,2017_puntos_por_partido,2017_minutos_jugados,2017_minutos_por_gol,2017_minutos_por_asistencia,2018_alineaciones,2018_puntos_por_partido,2018_minutos_jugados,2018_minutos_por_gol,2018_minutos_por_asistencia,2019_alineaciones,2019_puntos_por_partido,2019_minutos_jugados,2019_minutos_por_gol,2019_minutos_por_asistencia
366,343052,nicolas-pepe,30,1.6,1917,274,958,39,1.36,1629,543,814,38,1.0,2956,211,591,41,1.9,3537,154,295,42,1.81,2717,340,272
369,341317,oliver-burke,21,1.24,926,463,926,32,1.97,1108,222,277,22,0.41,668,668,334,30,2.1,1825,228,304,35,0.89,1564,1564,782
371,324358,ollie-watkins,22,1.32,1413,157,353,52,1.5,4318,270,332,48,1.44,3713,338,743,45,1.42,3464,289,385,50,1.68,4456,171,1485
373,334042,orbelin-pineda,38,1.5,2882,360,480,51,1.65,3951,1976,988,41,1.39,2880,1440,2880,41,1.51,3067,767,613,27,1.67,1490,373,745
376,241391,oussama-idrissi,31,1.48,2013,168,252,31,1.13,1695,339,339,31,1.74,1940,176,242,39,1.72,3383,242,423,42,2.0,3366,198,337
378,74230,pablo-sarabia,32,1.13,2553,365,426,46,1.74,2809,255,234,53,1.6,3753,417,417,52,1.77,3729,162,219,40,2.68,2409,172,301
379,126716,paco-alcacer,46,1.26,3087,206,386,28,2.14,1385,173,346,23,2.09,992,142,248,32,2.13,1664,88,832,29,1.76,1773,161,443
383,272855,paul-onuachu,37,1.54,1547,172,516,45,1.58,3479,151,870,32,2.41,2178,128,272,40,1.98,3109,141,518,29,1.28,1899,190,950
384,211072,paulinho,47,1.36,3033,379,433,38,1.32,3343,176,1114,43,2.14,2946,173,589,38,1.92,2400,218,400,48,1.96,3726,149,414
385,206050,paulo-dybala,46,2.3,3109,135,444,48,2.31,3370,177,421,46,2.3,3378,130,483,42,2.17,2820,282,1410,46,2.24,2910,171,208
388,248393,peter-olayinka,27,1.96,2245,225,321,32,1.34,2248,321,749,40,1.63,3453,314,230,39,2.18,2157,360,539,30,1.93,2204,367,441
390,99353,portu,40,0.88,3496,583,1748,41,1.63,3240,405,405,37,1.38,3014,274,502,37,0.84,2958,296,986,40,1.6,2558,365,284
391,182381,quincy-promes,32,1.66,2806,156,351,29,2.07,2474,206,275,38,1.74,3322,158,332,56,1.68,3495,699,350,28,2.36,2104,132,421
394,361254,rafa-mir,12,1.58,983,164,328,40,1.45,2434,270,487,24,1.13,1790,119,1790,30,1.13,1650,236,1650,31,1.52,1444,160,481
395,134425,raheem-sterling,47,1.74,2981,271,298,47,2.04,3627,363,181,46,2.57,3568,155,210,51,2.53,4097,164,228,52,2.12,4017,130,402
396,411295,raphinha,17,1.35,987,197,987,40,1.78,2200,550,314,43,1.23,3673,204,612,36,2.08,2358,337,472,35,1.54,2736,304,547
397,162038,raul-de-tomas,27,1.3,1154,192,577,39,1.51,2136,142,1068,32,1.94,2515,105,629,34,0.85,2849,204,2849,32,1.5,2146,268,2146
398,206040,raul-jimenez,45,2.4,1715,143,343,32,2.25,1182,107,394,43,2.0,1452,182,207,44,1.59,3550,209,444,55,1.73,4493,166,449
399,129724,raul-ruidiaz,9,2.44,786,79,786,34,1.38,2628,131,2628,55,1.75,4578,135,1144,26,1.96,2186,146,437,20,1.6,1698,142,566
400,399543,remi-oudin,2,1.5,180,90,180,26,1.27,1311,328,656,25,2.28,1586,264,227,40,1.43,2849,259,712,30,1.5,2354,589,785
401,194638,renato-steffen,36,1.89,2660,266,380,39,2.26,3001,429,250,45,1.76,2927,976,488,34,1.68,1663,333,1663,38,1.5,2213,369,553
403,106076,ricardo-goulart,46,1.96,4043,144,368,41,1.95,3662,136,229,28,2.07,2473,118,247,4,3.0,157,157,78,18,1.39,1636,409,327
406,378710,richarlison,28,1.21,1573,393,1573,18,1.61,1591,227,265,41,1.07,3028,606,606,38,1.45,2809,201,1404,41,1.37,3501,233,875
408,171424,riyad-mahrez,39,2.08,3128,174,313,48,1.35,3766,377,538,41,1.34,3339,257,257,44,2.52,2581,215,215,50,2.18,3149,242,197
409,270393,robert-skov,25,2.04,1919,320,960,31,1.35,2635,264,659,43,1.49,3309,552,331,48,2.04,3723,116,372,36,1.75,2907,581,323
410,131789,roberto-firmino,49,1.76,3326,302,302,41,1.8,3463,289,315,54,2.0,4188,155,246,48,2.23,3406,213,426,52,2.35,3921,327,302
411,159337,roberto-inglese,26,1.12,1377,459,459,37,1.24,2220,185,555,36,1.17,2934,226,2934,25,1.08,1968,219,984,19,1.47,897,224,897
413,131505,rodrigo,38,1.32,2175,311,725,21,1.05,1588,227,318,44,1.89,2994,158,428,51,1.65,3775,252,378,34,1.47,2506,358,228
414,135082,rogelio-funes-mori,44,1.57,3493,140,388,41,1.68,3223,129,1074,40,2.03,3173,167,353,43,1.98,3025,151,1008,39,1.59,3155,158,1052
416,348263,roger-guedes,31,2.13,2165,722,1082,33,1.58,1781,445,594,22,2.0,1830,166,366,26,1.65,2021,155,337,10,1.6,792,132,396
422,193925,romarinho,29,1.66,2367,148,1184,20,1.75,1683,187,842,31,1.35,2726,195,303,42,1.33,2985,187,1492,32,1.19,2836,167,567
423,96341,romelu-lukaku,46,1.46,4023,161,575,39,1.62,3447,133,492,51,2.12,4071,151,452,45,1.6,3001,200,750,51,2.06,4189,123,698
424,371009,rony,35,1.54,3066,279,511,36,0.86,2741,343,457,23,2.09,863,216,863,41,1.73,3360,480,336,31,2.1,1943,648,486
426,146795,ryan-fraser,21,1.71,1341,224,224,29,1.03,1856,619,232,32,1.22,2543,424,636,42,1.21,3384,423,226,32,1.0,2351,2351,588
428,290593,sada-thioub,30,1.3,2307,385,577,30,1.6,1678,420,1678,34,1.68,1948,390,390,39,1.36,2506,835,501,27,1.33,1768,589,884
429,200512,sadio-mane,43,1.63,3116,208,346,29,2.21,2427,187,303,44,1.93,3480,174,387,50,2.32,4309,166,862,47,2.38,3720,169,310
430,290532,said-benrahma,23,1.0,610,203,610,15,1.33,1023,341,341,33,1.58,2462,246,492,45,1.47,2853,259,168,46,1.7,3842,226,384
431,386914,sam-lammers,42,1.6,3136,241,348,44,1.8,3248,155,650,27,1.81,1670,139,418,35,1.23,3064,161,613,10,1.7,688,229,688
432,159668,sam-larsson,37,1.3,3265,544,363,36,1.31,2770,308,173,31,1.74,1803,200,361,39,1.92,3172,453,264,53,1.68,3390,308,339
