,id,nombre,2014_alineaciones,2014_puntos_por_partido,2014_minutos_jugados,2014_minutos_por_gol,2014_minutos_por_asistencia,2015_alineaciones,2015_puntos_por_partido,2015_minutos_jugados,2015_minutos_por_gol,2015_minutos_por_asistencia,2016_alineaciones,2016_puntos_por_partido,2016_minutos_jugados,2016_minutos_por_gol,2016_minutos_por_asistencia,2017_alineaciones,2017_puntos_por_partido,2017_minutos_jugados,2017_minutos_por_gol,2017_minutos_por_asistencia,2018_alineaciones,2018_puntos_por_partido,2018_minutos_jugados,2018_minutos_por_gol,2018_minutos_por_asistencia
475,60540,valere-germain,37,1.89,1189,238,1189,40,1.58,3248,232,541,60,2.3,3522,207,704,55,1.84,3500,194,583,42,1.45,2550,319,1275
476,256267,vedat-muriqi,32,1.41,1677,280,1677,37,1.3,2932,172,977,40,1.55,1970,328,1970,31,1.61,2027,169,676,36,1.17,3087,182,386
477,116598,viktor-claesson,35,1.83,2978,271,248,38,1.63,3410,310,262,18,1.39,1475,295,369,34,1.85,2838,237,355,42,1.71,3488,233,349
480,147487,vincent-aboubakar,22,2.18,1202,134,300,42,1.9,3066,170,1022,38,2.0,2423,128,606,43,2.33,2971,114,424,11,2.36,589,147,294
483,213605,vitinho,43,1.81,2194,169,548,28,1.32,2189,274,730,13,2.31,1015,169,169,69,1.86,4813,321,344,34,2.29,1391,232,464
484,103565,wahbi-khazri,34,1.76,2527,281,316,44,1.43,3280,410,410,23,0.43,1000,1000,1000,34,1.5,2549,232,637,35,1.6,3011,215,376
487,145988,wilfried-zaha,35,1.29,2300,575,575,43,1.37,3362,672,480,37,1.11,3131,447,285,29,1.52,2550,283,510,36,1.36,3223,322,322
488,122155,willian-jose,38,1.26,2219,222,444,34,1.26,2085,209,2085,34,1.62,2541,182,635,40,1.43,3163,158,791,34,1.35,2584,235,517
489,146854,wissam-ben-yedder,38,1.0,2988,199,598,41,1.24,3348,146,558,42,1.93,2268,126,378,42,1.64,2741,125,548,54,1.7,4025,134,366
491,86792,xherdan-shaqiri,35,1.57,1710,342,428,32,1.31,2294,765,382,22,1.41,1781,445,890,38,0.87,3080,385,440,30,2.27,1413,236,283
492,60517,yacine-brahimi,42,2.29,2835,218,284,44,1.95,3245,361,324,31,2.03,1927,275,482,49,2.33,3914,326,391,49,2.27,3429,264,381
493,140776,yannick-carrasco,52,1.87,3778,472,270,43,2.16,2402,480,480,53,2.0,3434,245,687,54,1.69,3789,344,237,26,1.42,2174,128,272
495,165361,yimmi-chara,35,1.91,2436,348,203,16,0.88,1440,1440,360,52,1.5,3450,345,575,39,1.41,3334,667,303,34,1.5,2431,405,2431
498,157635,yussuf-poulsen,32,1.47,2815,235,704,34,1.94,2121,303,424,30,2.0,2188,438,547,41,1.54,2241,448,224,45,1.91,3321,175,415
499,134602,ze-luis,25,1.88,1604,146,321,25,1.64,1768,177,354,24,2.17,1703,341,284,24,1.63,1546,258,193,36,1.47,2657,190,664
