,id,nombre,2014_alineaciones,2014_puntos_por_partido,2014_minutos_jugados,2014_minutos_por_gol,2014_minutos_por_asistencia,2015_alineaciones,2015_puntos_por_partido,2015_minutos_jugados,2015_minutos_por_gol,2015_minutos_por_asistencia,2016_alineaciones,2016_puntos_por_partido,2016_minutos_jugados,2016_minutos_por_gol,2016_minutos_por_asistencia,2017_alineaciones,2017_puntos_por_partido,2017_minutos_jugados,2017_minutos_por_gol,2017_minutos_por_asistencia,2018_alineaciones,2018_puntos_por_partido,2018_minutos_jugados,2018_minutos_por_gol,2018_minutos_por_asistencia
192,268112,gyrano-kerk,24,1.67,1800,180,450,36,1.17,3095,442,344,31,1.71,2271,206,324,41,1.46,3231,404,462,40,1.73,3166,352,264
194,217111,hakim-ziyech,40,1.55,3544,208,208,34,1.18,3042,179,254,46,2.13,3834,320,192,39,2.08,3523,391,196,49,2.31,4111,196,171
196,132098,harry-kane,51,1.86,3680,119,613,50,1.76,4027,144,2014,38,2.05,3154,90,451,48,2.0,3953,96,791,40,1.88,3342,139,557
199,292246,hee-chan-hwang,13,2.0,734,367,367,32,2.09,1853,168,265,35,2.29,2176,136,1088,37,2.22,1995,153,499,21,1.57,1331,666,666
200,173900,helder-costa,29,1.48,2176,311,198,28,1.93,1609,322,536,40,1.28,2953,246,268,39,1.97,1994,399,332,30,1.53,1559,780,780
202,91845,heung-min-son,42,1.88,3181,187,795,42,1.81,2001,250,400,47,2.09,2972,142,330,53,1.98,3379,188,307,48,1.94,3292,165,329
203,316889,hirving-lozano,40,1.58,3217,357,460,48,1.42,3974,331,397,37,1.78,2980,166,426,34,2.26,2767,146,252,40,2.05,3273,156,273
204,59340,iago-falque,33,1.55,2437,187,406,27,1.63,1501,500,750,35,1.46,2532,211,422,40,1.5,3079,220,342,28,1.71,1797,300,300
206,237164,ihlas-bebou,12,0.75,594,297,594,28,1.0,1646,549,412,34,1.24,2884,481,262,36,1.28,2683,383,1342,14,1.0,1249,250,416
207,54235,iker-muniain,41,1.46,3245,1623,811,28,1.61,1364,682,1364,46,1.72,3150,450,630,20,1.3,1298,260,324,37,1.41,2543,363,509
208,255508,inaki-williams,43,1.53,3293,206,823,37,1.68,2426,187,404,49,1.67,3621,453,402,52,1.27,3805,381,476,41,1.44,3179,212,636
211,111039,ishak-belfodil,23,0.7,1362,1362,454,23,1.3,1957,178,391,37,1.19,3277,193,546,32,1.09,1605,268,1605,35,1.23,2322,137,387
213,251664,ivan-toney,44,1.32,2686,269,672,34,1.65,1814,259,363,43,1.23,3213,230,402,46,1.83,2472,177,618,55,1.49,3947,172,493
214,203460,jack-grealish,32,1.75,1880,940,376,27,0.89,1626,542,813,34,1.03,2095,419,419,34,1.76,2361,787,295,35,2.06,3031,505,379
216,199527,jacob-murphy,34,1.29,2667,333,242,43,1.3,2970,297,297,40,1.4,2724,303,340,28,0.89,1367,1367,1367,28,1.07,1411,706,470
224,198358,jed-wallace,50,1.28,4296,253,537,27,1.74,1983,992,330,34,1.62,2227,557,371,47,1.57,3863,552,483,48,1.08,3993,799,799
225,216569,jeremie-boga,29,2.1,1724,246,575,31,1.16,1209,403,1209,27,0.44,1481,741,1481,35,0.8,2238,1119,746,27,1.15,1474,491,1474
227,125165,jesus-corona,33,1.73,2721,209,544,39,1.67,2541,318,508,41,2.0,2219,370,247,41,2.46,2178,726,436,53,2.4,3673,525,245
233,89231,johann-berg-gudmundsson,44,1.18,3454,314,864,42,0.98,3416,569,263,24,1.04,1297,1297,432,38,1.26,3047,1524,381,36,1.11,2279,760,326
238,228761,jony,42,1.88,3213,402,321,36,1.0,2882,576,320,26,0.96,1372,686,1372,30,1.4,2163,361,433,37,1.32,2993,748,272
239,108354,jordan-ayew,33,1.09,2716,209,388,36,0.64,2695,385,2695,36,1.33,2482,621,355,44,1.07,3278,298,1093,25,1.6,1340,670,670
241,308552,jordan-larsson,27,1.48,2078,520,346,33,1.03,2543,231,636,13,1.23,781,391,260,46,2.11,2155,196,539,16,1.63,1329,121,1329
246,162569,josef-martinez,40,1.6,2207,315,736,23,1.35,1028,257,343,35,1.83,2403,109,2403,39,2.08,3299,94,550,39,1.92,3472,105,1157
247,81999,joselu,32,1.0,2654,265,664,27,1.52,1455,364,364,24,1.0,1184,197,1184,32,1.13,1695,424,1695,20,0.8,968,323,968
249,91059,joshua-king,19,1.21,890,178,890,35,1.03,2241,320,560,36,1.17,2720,170,1360,34,1.18,2497,277,832,38,1.26,3037,253,759
250,348791,junya-ito,38,1.03,2054,514,685,41,1.56,3210,459,459,42,1.81,3310,552,414,41,1.2,3442,382,202,14,1.79,1020,340,510
251,166240,jurgen-locadia,37,2.22,1606,178,321,42,2.24,2904,242,207,17,2.35,1036,259,259,26,1.85,1885,171,236,34,1.03,1730,433,1730
252,61087,karim-bellarabi,46,1.87,3939,303,281,49,1.73,3922,327,280,19,1.16,1349,337,225,29,1.48,1385,693,346,24,1.63,1428,159,238
254,315110,karl-toko-ekambi,39,1.33,2967,212,1484,40,1.25,3034,276,3034,33,1.21,2537,317,507,39,1.03,3148,185,525,43,1.26,2752,153,393
256,330126,karol-swiderski,7,1.71,169,169,84,36,1.39,1437,205,718,29,1.86,1013,338,506,34,1.53,1180,236,590,38,2.0,1846,123,615
258,132553,kaveh-rezaei,23,1.78,1775,222,296,34,1.59,2557,320,426,40,1.9,3624,279,279,41,1.44,3277,205,546,17,1.53,793,198,793
259,238752,keita-balde,29,1.79,1170,293,292,39,1.46,2311,462,578,34,1.88,2075,130,415,33,1.79,2006,251,182,30,1.7,1089,218,544
260,295330,kelechi-iheanacho,6,1.67,442,111,221,36,1.81,1318,94,188,29,1.83,899,128,300,30,1.2,1451,161,363,35,1.2,1237,619,309
261,141350,kemar-roofe,30,1.63,2165,180,309,49,1.86,4113,165,343,49,1.69,3049,762,436,39,1.36,2695,193,539,34,1.88,2518,168,1259
265,131951,kevin-lasagna,30,1.97,1167,233,389,39,1.1,1640,328,410,47,1.49,3468,248,694,32,1.34,2317,166,579,37,1.08,2568,428,2568
266,82009,kevin-volland,36,1.39,3021,302,378,34,1.06,2821,353,282,31,0.97,2011,223,1006,35,1.71,3004,215,751,42,1.71,3375,225,211
267,124902,khouma-babacar,28,1.57,1365,152,682,24,1.67,1199,171,1199,31,1.65,1764,126,588,31,1.26,1335,191,334,31,1.23,1523,218,762
268,243714,kingsley-coman,20,1.95,673,673,336,37,2.51,2478,413,206,25,2.2,1116,558,1116,33,2.45,1869,267,234,30,2.47,1928,193,275
270,327757,krzysztof-piatek,34,2.15,2048,228,512,36,1.75,2216,277,554,39,1.15,2619,218,873,38,1.37,3279,156,820,42,1.45,3410,114,3410
273,144028,leandro-trossard,41,1.8,3376,199,3376,31,1.03,2130,237,304,52,1.88,2800,311,467,19,1.42,1437,180,359,47,2.02,3769,171,343
274,140436,lei-wu,33,2.15,2943,184,210,42,1.76,3767,171,251,47,2.02,4004,154,364,41,2.17,3618,125,302,16,1.75,1065,355,532
275,221899,leo-baptistao,26,1.23,1806,258,1806,34,1.71,1720,287,860,22,1.45,1450,242,207,40,1.28,2877,320,959,51,1.27,3572,357,893
277,192565,leroy-sane,27,1.7,1658,184,553,42,1.52,2925,325,418,37,1.97,2597,289,325,49,2.45,3648,261,192,47,2.49,2694,168,150
279,133964,lorenzo-insigne,28,1.61,1425,713,238,42,2.12,2856,220,286,49,2.1,3767,188,342,48,2.25,3865,276,297,41,1.85,3068,219,511
280,313106,luan,33,1.73,2776,278,397,33,1.42,2830,472,404,32,2.22,2730,182,455,30,1.77,2692,538,299,26,1.54,1652,413,275
281,196095,luca-waldschmidt,8,1.63,528,264,176,14,0.86,298,298,298,21,1.43,884,147,295,23,1.3,882,882,441,32,1.06,1868,208,623
282,193782,lucas-alario,24,1.38,1978,198,659,24,1.46,1744,159,872,35,2.0,2767,184,553,27,1.78,1761,176,294,36,1.78,1828,131,609
286,234787,lucas-joao,38,1.32,2313,330,257,48,1.56,2354,294,588,25,1.36,1197,299,299,34,0.94,1881,209,470,32,1.41,1620,162,810
287,77100,lucas-moura,46,2.2,2882,360,288,56,2.5,3169,244,634,53,2.36,3478,183,386,17,2.0,536,268,107,49,1.71,3172,211,1586
288,189441,lucas-ocampos,40,1.75,1638,328,819,25,1.44,1328,332,1328,29,1.21,1518,506,759,53,2.0,3668,229,917,40,1.38,3217,643,402
289,221316,lucas-vazquez,39,1.41,3189,797,456,33,2.67,1647,412,165,50,2.46,2279,570,163,53,2.19,2812,352,176,47,1.85,2654,531,664
290,214316,luciano-vietto,48,1.69,2955,148,369,28,1.93,1455,485,291,31,1.68,1890,189,315,29,1.76,1424,285,1424,22,0.55,1161,1161,290
293,119228,luis-muriel,27,1.41,1379,345,276,35,1.09,1919,274,384,33,1.39,2415,186,402,46,1.43,2411,268,804,42,1.45,2560,197,427
294,227404,luis-quinones,34,1.74,2127,709,425,22,1.68,1260,315,315,27,1.81,1132,377,566,34,1.82,2479,310,1240,50,1.7,3620,724,259
297,72522,luuk-de-jong,45,2.4,3930,151,281,44,2.34,3849,120,321,39,1.92,3388,376,376,33,2.33,2493,192,208,43,2.12,3891,122,389
299,323704,malcom,34,2.18,2498,500,624,13,1.0,571,286,571,45,1.69,3275,364,468,38,1.5,3124,260,390,24,1.54,1067,267,534
303,106987,marcel-sabitzer,51,2.14,3453,128,164,34,1.97,2916,365,583,33,1.94,2718,302,680,34,1.65,2617,523,291,43,2.12,3287,657,548
304,296622,marco-asensio,36,1.19,2915,486,364,37,1.16,3047,762,203,38,2.45,1919,192,480,53,2.08,2864,260,477,44,1.75,2370,395,263
310,112935,mark-uth,37,1.46,3084,154,257,25,1.04,1398,175,1398,24,1.54,1277,142,255,38,1.5,2568,151,285,29,1.21,2113,528,704
312,205940,marko-pjaca,47,2.34,3211,229,535,42,2.07,2924,244,487,22,2.55,721,240,721,13,2.0,710,178,237,19,1.21,744,744,744
313,189418,martin-benitez,40,1.5,2484,355,355,18,1.56,899,300,899,36,1.78,1841,921,368,31,1.61,1989,249,663,32,1.53,2003,501,501
314,95732,martin-braithwaite,36,1.06,2297,383,1148,41,1.15,3196,228,1598,36,1.03,3188,266,1063,35,1.43,2435,244,487,40,1.43,2833,354,405
316,101500,matej-vydra,45,1.78,2706,169,451,37,1.05,2523,280,841,38,1.5,1977,395,1977,44,1.7,2878,131,720,17,0.65,559,280,280
317,225984,matheus-pereira,11,2.27,629,629,210,30,2.27,1801,139,300,23,2.17,1649,183,236,30,1.43,2395,299,479,21,0.71,1445,482,722
319,77274,matt-phillips,27,0.7,2000,667,250,45,1.31,3859,482,772,29,1.28,2404,481,267,34,1.0,2354,785,785,33,1.7,2278,456,380
320,165895,matteo-politano,49,1.53,3674,612,525,29,1.48,1071,214,536,42,1.31,2878,360,360,39,1.26,3010,274,752,48,1.75,3438,573,573
321,68863,mauro-icardi,48,1.54,3875,144,431,34,1.68,2636,165,659,41,1.37,3426,132,489,36,1.89,3130,108,3130,37,1.65,2972,175,594
325,96454,maxime-lestienne,31,1.74,1378,1378,344,20,1.9,1042,347,104,16,1.31,849,283,424,24,0.88,1141,380,570,33,1.3,1800,360,600
326,143891,maximilian-philipp,28,1.07,1489,1489,213,33,2.27,2374,297,183,27,1.3,2130,237,426,28,1.57,1655,184,331,23,2.3,1046,523,349
328,157501,mbaye-niang,19,1.37,1051,210,350,21,1.9,1411,176,353,34,1.47,2377,475,475,31,1.23,1925,481,642,44,1.55,2802,200,400
329,182201,mbwana-samatta,13,2.0,1050,131,525,20,1.6,1085,217,362,59,1.85,4115,196,686,35,1.57,2204,276,551,51,2.02,4211,132,702
330,307058,mehdi-taremi,36,1.47,2607,326,372,27,1.93,2378,132,476,39,2.05,3157,126,526,22,1.82,1638,137,205,23,1.13,1997,250,499
331,167850,memphis-depay,40,2.33,3387,121,423,46,1.72,2555,365,284,26,1.5,1382,276,173,51,2.02,3655,166,215,47,1.7,3537,295,221
333,120205,michael-gregoritsch,27,1.33,1682,240,420,26,1.19,1479,247,740,32,1.16,1403,281,351,33,1.15,2607,201,652,36,1.03,2912,364,1456
335,104124,michail-antonio,49,1.33,4157,277,297,38,1.58,2994,230,499,37,1.24,3022,336,504,22,1.05,1429,476,1429,38,1.37,2439,348,348
339,215649,mirko-maric,34,1.44,1567,196,392,38,1.45,2209,184,1104,40,1.65,2334,195,467,39,1.59,2016,183,504,44,1.73,3794,190,474
340,119150,mislav-orsic,53,1.7,4171,348,379,32,1.25,2284,254,761,49,1.67,3527,271,588,21,1.48,1558,195,312,44,2.34,3134,241,448
342,148455,mohamed-salah,34,1.82,2129,237,355,42,1.93,3402,227,486,41,2.1,3185,168,212,52,1.96,4119,94,257,52,2.29,4342,161,362
343,175449,moi-gomez,44,1.64,2329,582,388,24,0.92,1037,519,346,26,0.92,1883,942,377,40,1.48,2554,1277,511,36,0.83,3061,1531,340
344,274862,moses-simon,44,1.98,3498,206,318,41,1.63,2339,780,585,42,1.6,2843,569,406,33,1.48,2695,449,898,23,1.0,1121,1121,1121
345,229004,moussa-dembele,19,1.11,905,302,452,46,1.04,3539,208,506,49,2.41,3374,105,375,39,2.03,2411,151,268,52,1.9,3211,140,535
346,192774,moussa-konate,34,1.53,2713,123,452,39,1.54,3135,224,348,39,1.59,2872,205,479,41,1.17,3014,188,1005,28,1.07,1901,272,950
347,283130,moussa-marega,16,1.25,1268,159,423,31,1.52,1967,246,393,31,2.13,2573,184,322,40,2.5,3331,145,416,47,2.3,3955,188,360
348,145866,munas-dabbur,40,1.23,3454,192,384,37,1.43,3330,151,256,38,1.68,2752,212,459,55,2.16,4487,155,408,48,2.58,3664,99,229
349,223725,munir-el-haddadi,33,1.55,2169,434,434,26,2.27,1664,208,238,39,1.41,2390,299,797,37,1.35,2621,187,374,31,1.58,1725,192,862
352,129078,nathan-redmond,47,1.89,3332,476,256,37,0.76,2482,414,1241,50,1.4,3648,456,3648,36,1.08,2106,2106,526,43,1.07,3629,403,605
356,68290,neymar,51,2.53,4098,105,410,49,2.47,4434,143,177,45,2.22,3972,199,153,30,2.63,2697,96,169,28,2.29,2351,102,181
357,75489,niclas-fullkrug,25,1.36,1626,542,232,35,1.86,2436,162,609,29,2.0,1319,264,440,36,1.17,2489,156,830,15,0.87,1194,398,597
358,82048,nicola-sansone,37,1.3,2689,336,538,38,1.66,2604,372,521,44,1.73,2720,302,680,22,2.0,805,134,402,23,1.17,1588,529,265
359,145602,nicolas-castillo,28,2.18,1577,143,788,18,1.5,1244,113,1244,25,1.64,2068,98,345,32,1.06,2604,145,651,28,2.0,1534,307,511
360,122116,nicolas-de-preville,28,1.18,1546,309,515,38,0.92,3041,380,338,33,1.27,2156,154,2156,35,1.03,2435,406,609,34,1.44,1800,450,600
363,185593,nicolas-lopez,26,1.12,996,199,498,43,1.23,2731,248,683,32,1.75,1519,169,760,35,1.86,2344,213,391,35,1.66,2310,578,385
368,298477,oliver-mcburnie,25,1.52,1474,295,1474,19,1.89,1265,115,253,24,1.92,1672,93,418,36,1.06,2391,126,1196,44,1.52,3573,149,893
371,334042,orbelin-pineda,41,1.56,2768,461,2768,38,1.5,2882,360,480,51,1.65,3951,1976,988,41,1.39,2880,1440,2880,41,1.51,3067,767,613
374,241391,oussama-idrissi,29,1.38,2017,504,2017,31,1.48,2013,168,252,31,1.13,1695,339,339,31,1.74,1940,176,242,39,1.72,3383,242,423
376,74230,pablo-sarabia,41,1.1,2927,732,418,32,1.13,2553,365,426,46,1.74,2809,255,234,53,1.6,3753,417,417,52,1.77,3729,162,219
377,126716,paco-alcacer,36,1.97,2402,172,400,46,1.26,3087,206,386,28,2.14,1385,173,346,23,2.09,992,142,248,32,2.13,1664,88,832
381,272855,paul-onuachu,27,1.67,1068,134,534,37,1.54,1547,172,516,45,1.58,3479,151,870,32,2.41,2178,128,272,40,1.98,3109,141,518
383,206050,paulo-dybala,35,1.23,3054,235,305,46,2.3,3109,135,444,48,2.31,3370,177,421,46,2.3,3378,130,483,42,2.17,2820,282,1410
387,252641,pione-sisto,24,1.96,1705,213,426,42,1.79,2631,329,658,56,1.63,3361,280,840,36,1.31,2658,443,295,27,0.85,968,484,968
388,99353,portu,39,1.41,2984,497,995,40,0.88,3496,583,1748,41,1.63,3240,405,405,37,1.38,3014,274,502,37,0.84,2958,296,986
389,182381,quincy-promes,29,1.31,2499,192,500,32,1.66,2806,156,351,29,2.07,2474,206,275,38,1.74,3322,158,332,56,1.68,3495,699,350
393,134425,raheem-sterling,52,1.52,4519,411,452,47,1.74,2981,271,298,47,2.04,3627,363,181,46,2.57,3568,155,210,51,2.53,4097,164,228
395,162038,raul-de-tomas,29,1.45,1931,276,483,27,1.3,1154,192,577,39,1.51,2136,142,1068,32,1.94,2515,105,629,34,0.85,2849,204,2849
396,206040,raul-jimenez,32,2.16,1095,219,274,45,2.4,1715,143,343,32,2.25,1182,107,394,43,2.0,1452,182,207,44,1.59,3550,209,444
397,129724,raul-ruidiaz,35,1.77,2765,154,553,9,2.44,786,79,786,34,1.38,2628,131,2628,55,1.75,4578,135,1144,26,1.96,2186,146,437
399,194638,renato-steffen,47,1.87,3579,256,298,36,1.89,2660,266,380,39,2.26,3001,429,250,45,1.76,2927,976,488,34,1.68,1663,333,1663
401,106076,ricardo-goulart,42,2.07,3501,130,219,46,1.96,4043,144,368,41,1.95,3662,136,229,28,2.07,2473,118,247,4,3.0,157,157,78
404,378710,richarlison,24,1.67,1842,205,460,28,1.21,1573,393,1573,18,1.61,1591,227,265,41,1.07,3028,606,606,38,1.45,2809,201,1404
406,171424,riyad-mahrez,32,1.0,2242,561,747,39,2.08,3128,174,313,48,1.35,3766,377,538,41,1.34,3339,257,257,44,2.52,2581,215,215
407,270393,robert-skov,25,0.56,1397,699,349,25,2.04,1919,320,960,31,1.35,2635,264,659,43,1.49,3309,552,331,48,2.04,3723,116,372
408,131789,roberto-firmino,36,1.39,3201,320,267,49,1.76,3326,302,302,41,1.8,3463,289,315,54,2.0,4188,155,246,48,2.23,3406,213,426
409,159337,roberto-inglese,27,1.48,1004,167,502,26,1.12,1377,459,459,37,1.24,2220,185,555,36,1.17,2934,226,2934,25,1.08,1968,219,984
